"","."
"1","272-95--TBRU912E--Microcerotermes--Microcerotermes-serrula--Brunei-Oriental--MIGHMNII_06587_d__Bacteria_p__Firmicutes_A_c__Clostridia_1"
"2","301-11--AUS114--Microcerotermes--Microcerotermes-sp-H--Australia-Australia--EOGHOPED_75862_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_1"
"3","272-70--MAL37--Microcerotermes--Microcerotermes-crassus--Malaysia-Oriental--ILALFPAC_49435_d__Bacteria_p__Firmicutes_A_c__Clostridia_1"
"4","272-75--PHI1--Microcerotermes--Microcerotermes--Philippines-Oriental--EFHMCDAH_00390_d__Bacteria_p__Firmicutes_A_c__Clostridia_1"
"5","230-03--PHI8--Microcerotermes--Microcerotermes--Philippines-Oriental--FFKHHJAJ_80964_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_1"
"6","272-104--TP114A--Microcerotermes--Microcerotermes-crassus--Malaysia-Oriental--NHIGIODF_00821_d__Bacteria_p__Firmicutes_A_c__Clostridia_1"
"7","301-87--THAI067--Nasutitermitinae--Hospitalitermes-sp-C--Thailand-Oriental--OHAELNNJ_06987_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_1"
"8","301-87--THAI067--Nasutitermitinae--Hospitalitermes-sp-C--Thailand-Oriental--OHAELNNJ_12791_d__Bacteria_p__Firmicutes_A_c__Clostridia_1"
"9","272-12--AUS66--Microcerotermes--Microcerotermes-sp-E--Australia-Australia--GDNKKEHJ_41394_d__Bacteria_p__Firmicutes_A_c__Clostridia_1"
"10","272-14--AUS71--Microcerotermes--Microcerotermes-sp-G--Australia-Australia--LAKMIEEK_133782_d__Bacteria_p__Firmicutes_A_c__Clostridia_1"
"11","301-16--AUS54--Nasutitermitinae--Nasutitermes-triodiae--Australia-Australia--AKBEIDEJ_30440_d__Bacteria_p__Firmicutes_A_c__Clostridia_1"
"12","301-54--G733--Nasutitermitinae--Nasutitermes-macrocephalus--French-Guiana-Neo-tropical--POHOEHOL_01039_d__Bacteria_p__Firmicutes_A_c__Clostridia_1"
"13","230-13--THAI43--Nasutitermitinae--Nasutitermes-sp-3--Thailand-Oriental--GAHIMCHH_28824_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_1"
"14","301-24--BDIT094--Nasutitermitinae--Trinervitermes-sp--Burundi-Afro-tropical--PNDKBPLD_06414_d__Bacteria_p__Firmicutes_A_c__Clostridia_1"
"15","301-05--49--Termitinae--Protocapritermes-odontomachus--New-Guinea-Oceania--EIGMLILD_23843_d__Bacteria_p__Firmicutes_A_c__Clostridia_1"
"16","272-67--MAD15-85--Microcerotermes--Microcerotermes-mad-sp-A--Madagascar-Madagascar--FFCMJAEF_00651_d__Bacteria_p__Firmicutes_A_c__Clostridia_1"
"17","272-70--MAL37--Microcerotermes--Microcerotermes-crassus--Malaysia-Oriental--ILALFPAC_09959_d__Bacteria_p__Firmicutes_A_c__Clostridia_1"
"18","301-41--G13-32--Apicotermitinae--Anoplotermes-banksi--French-Guiana-Neo-tropical--GBOCAJFK_35821_d__Bacteria_p__Firmicutes_A_c__Clostridia_1"
"19","301-31--BRA11-2--Syntermitinae--Syntermes-grandis--Brazil-Neo-tropical--COEGPMDE_69215_d__Bacteria_p__Firmicutes_A_c__Clostridia_1"
"20","301-89--THAI096--Termitinae--Termes-propinqus--Thailand-Oriental--IDNAGNDJ_14284_d__Bacteria_p__Firmicutes_A_c__Clostridia_1"
"21","272-91--T614--Microcerotermes--Microcerotermes--Singapore-Oriental--ECJLCPLO_125227_d__Bacteria_p__Firmicutes_A_c__Clostridia_1"
"22","272-89--T2-IC--Microcerotermes--Microcerotermes-havilandi--Singapore-Oriental--OCBKEODD_07437_d__Bacteria_p__Firmicutes_A_c__Clostridia_1"
"23","301-11--AUS114--Microcerotermes--Microcerotermes-sp-H--Australia-Australia--EOGHOPED_18341_d__Bacteria_p__Firmicutes_A_c__Clostridia_1"
"24","301-05--49--Termitinae--Protocapritermes-odontomachus--New-Guinea-Oceania--EIGMLILD_02435_d__Bacteria_p__Firmicutes_A_c__Clostridia_1"
"25","301-05--49--Termitinae--Protocapritermes-odontomachus--New-Guinea-Oceania--EIGMLILD_151245_d__Bacteria_p__Firmicutes_A_c__Clostridia_o__Oscillospirales_1"
"26","301-05--49--Termitinae--Protocapritermes-odontomachus--New-Guinea-Oceania--EIGMLILD_36073_d__Bacteria_p__Firmicutes_A_c__Clostridia_1"
