"","."
"1","RS_GCF_000214375_1_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_g__Treponema_E_s__Treponema_Eprimitia_termitegut_1"
"2","RS_GCF_000297095_1_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_g__Treponema_E_s__Treponema_Eprimitia_A_termitegut_1"
"3","229-01--HSRNA1--Archotermopsidae--Hodotermopsis-sjosdedti--China-Paleo-arctic--JPLABEBE_179258_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_g__Treponema_E_1"
"4","301-92--US1--Rhinotermitidae--Reticulitermes-nelsonae--USA-Neo-arctic--KLEHDADP_29146_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_g__Treponema_E_1"
"5","272-105--US10--Kalotermitidae--Incisitermes-snyderi--USA-Neo-arctic--GCONFNFJ_106961_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_g__Treponema_E_1"
"6","301-49--G678-2--Kalotermitidae--Rugitermes-sp-A--French-Guiana-Neo-tropical--IFJMGIMC_257360_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_g__Treponema_E_1"
"7","301-55--H2--Kalotermitidae--Glyptotermes-Okinawa--h2-Japan-Paleo-arctic--KGECLOJD_51322_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_g__Treponema_E_1"
"8","301-19--AUS89--Kalotermitidae--Kalotermitidae-sp-A--Australia-Australia--JAHMBFEI_208781_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_g__Treponema_E_1"
"9","301-55--H2--Kalotermitidae--Glyptotermes-Okinawa--h2-Japan-Paleo-arctic--KGECLOJD_23592_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_g__Treponema_E_1"
"10","301-19--AUS89--Kalotermitidae--Kalotermitidae-sp-A--Australia-Australia--JAHMBFEI_15911_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"11","272-87--SAF5--Macrotermitinae--Allodontotermes-schultzei--South-Africa-Afro-tropical--GBGDJPGA_376891_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
"12","301-63--NG90--Rhinotermitidae--Prorhinotermes-inopinatus--New-Guinea-Oceania--OFHFMJGH_380369_d__Bacteria_p__Spirochaetota_c__Spirochaetia_o__Treponematales_f__Treponemataceae_B_1"
