"","onemore"
"1","229-03--CF-RNA-1-Rhinotermitidae-Coptotermes-formosanus-South-East-Asia-Oriental_1"
"2","229-03--CF-RNA-1-Rhinotermitidae-Coptotermes-formosanus-South-East-Asia-Oriental_2"
"3","229-03--CF-RNA-1-Rhinotermitidae-Coptotermes-formosanus-South-East-Asia-Oriental_3"
"4","229-03--CF-RNA-1-Rhinotermitidae-Coptotermes-formosanus-South-East-Asia-Oriental_4"
"5","229-03--CF-RNA-1-Rhinotermitidae-Coptotermes-formosanus-South-East-Asia-Oriental_5"
"6","229-03--CF-RNA-1-Rhinotermitidae-Coptotermes-formosanus-South-East-Asia-Oriental_6"
"7","229-05--MD-RNA-1-Mastotermitidae-Mastotermes-darwiniensis-Australia-Australia_1"
"8","229-05--MD-RNA-1-Mastotermitidae-Mastotermes-darwiniensis-Australia-Australia_2"
"9","229-08--Cryptocercidae-Cryptocercus-punctulatus-Korea-Paleo-arctic_1"
"10","230-04--RDCT185-Rhinotermitidae-Coptotermes-Congo-Afro-tropical_1"
"11","230-04--RDCT185-Rhinotermitidae-Coptotermes-Congo-Afro-tropical_2"
"12","230-18--SING74-Kalotermitidae-Neotermes-Singapore-Oriental_1"
"13","272-03--30-Rhinotermitidae-Parrhinotermes-browni-New-Guinea-Oceania_1"
"14","272-03--30-Rhinotermitidae-Parrhinotermes-browni-New-Guinea-Oceania_2"
"15","272-03--30-Rhinotermitidae-Parrhinotermes-browni-New-Guinea-Oceania_3"
"16","272-08--AUS117-Kalotermitidae-Cryptotermes-primus-Australia-Australia_1"
"17","272-17--AUST14-12-Stolotermitidae-Stolotermes-victoriensis-Australia-Australia_1"
"18","272-51--M16-Kalotermitidae-Tauritermes-Argentina-Neo-tropical_1"
"19","272-61--MAD15-2-Kalotermitidae-Bifiditermes-Madagascar-Madagascar_1"
"20","272-61--MAD15-2-Kalotermitidae-Bifiditermes-Madagascar-Madagascar_2"
"21","272-61--MAD15-2-Kalotermitidae-Bifiditermes-Madagascar-Madagascar_3"
"22","272-61--MAD15-2-Kalotermitidae-Bifiditermes-Madagascar-Madagascar_4"
"23","272-61--MAD15-2-Kalotermitidae-Bifiditermes-Madagascar-Madagascar_5"
"24","272-61--MAD15-2-Kalotermitidae-Bifiditermes-Madagascar-Madagascar_6"
"25","272-94--TBRU825-Rhinotermitidae-Heterotermes-Brunei-Oriental_1"
"26","272-94--TBRU825-Rhinotermitidae-Heterotermes-Brunei-Oriental_2"
"27","272-96--THAI112-Kalotermitidae-Glyptotermes-Thailand-Oriental_1"
"28","301-09--87-Rhinotermitidae-Coptotermes-elisae-New-Guinea-Oceania_1"
"29","301-09--87-Rhinotermitidae-Coptotermes-elisae-New-Guinea-Oceania_2"
"30","301-19--AUS89-Kalotermitidae-Kalotermitidae-sp-A-Australia-Australia_1"
"31","301-19--AUS89-Kalotermitidae-Kalotermitidae-sp-A-Australia-Australia_2"
"32","301-19--AUS89-Kalotermitidae-Kalotermitidae-sp-A-Australia-Australia_3"
"33","301-19--AUS89-Kalotermitidae-Kalotermitidae-sp-A-Australia-Australia_4"
"34","301-19--AUS89-Kalotermitidae-Kalotermitidae-sp-A-Australia-Australia_5"
"35","301-20--AUS-91-Kalotermitidae-Kalotermitidae-sp-C-Australia-Australia_1"
"36","301-20--AUS-91-Kalotermitidae-Kalotermitidae-sp-C-Australia-Australia_2"
"37","301-30--BDIT086-Macrotermitinae-Odontotermes-sp-Burundi-Afro-tropical_1"
"38","301-55--H2-Kalotermitidae-Glyptotermes-Okinawa-h2-Japan-Paleo-arctic_1"
"39","301-55--H2-Kalotermitidae-Glyptotermes-Okinawa-h2-Japan-Paleo-arctic_2"
"40","301-55--H2-Kalotermitidae-Glyptotermes-Okinawa-h2-Japan-Paleo-arctic_3"
"41","301-55--H2-Kalotermitidae-Glyptotermes-Okinawa-h2-Japan-Paleo-arctic_4"
"42","301-55--H2-Kalotermitidae-Glyptotermes-Okinawa-h2-Japan-Paleo-arctic_5"
"43","301-55--H2-Kalotermitidae-Glyptotermes-Okinawa-h2-Japan-Paleo-arctic_6"
"44","301-70--RDCT112-Rhinotermitidae-Schedorhinotermes-lamanianus-Congo-Afro-tropical_1"
"45","301-82--THAI23-Rhinotermitidae-Parhinotermes-sp-A-Thailand-Oriental_1"
"46","301-91--US17-Archotermopsidae-Zootermopsis-nevadensis-USA-Neo-arctic_1"
