runnumber,label,Termite.lineages,V2
230-23,230-23--BDIT062--Apicotermitinae--Acholotermes-chirotus--Burundi-Afro-tropical,Apicotermitinae,#228B22
272-22,272-22--BDIT49--Apicotermitinae--Aderitotermes--Burundi-Afro-tropical,Apicotermitinae,#228B22
272-27,272-27--CAM16-05--Apicotermitinae--Phoxotermes--Cameroon-Afro-tropical,Apicotermitinae,#228B22
272-28,272-28--CAM16-13--Apicotermitinae--Labidotermes--Cameroon-Afro-tropical,Apicotermitinae,#228B22
272-30,272-30--CAM212--Apicotermitinae--Heimitermes--Cameroon-Afro-tropical,Apicotermitinae,#228B22
272-38,272-38--G13-17--Apicotermitinae--Anoplotermes-group-sp-N--French-Guiana-Neo-tropical,Apicotermitinae,#228B22
272-42,272-42--G13-4--Apicotermitinae--Anoplotermes-parvus--French-Guiana-Neo-tropical,Apicotermitinae,#228B22
272-47,272-47--G756--Apicotermitinae--Patawatermes--French-Guiana-Neo-tropical,Apicotermitinae,#228B22
272-88,272-88--SAF6--Apicotermitinae--Alyscotermes-sp--South-Africa-Afro-tropical,Apicotermitinae,#228B22
272-90,272-90--T414A--Apicotermitinae--Euhamitermes--Singapore-Oriental,Apicotermitinae,#228B22
301-23,301-23--BDIT061--Apicotermitinae--Alyscotermes-kilimandjaricus--Burundi-Afro-tropical,Apicotermitinae,#228B22
301-27,301-27--BDIT112--Apicotermitinae--Astalotermes-murcus--Burundi-Afro-tropical,Apicotermitinae,#228B22
301-41,301-41--G13-32--Apicotermitinae--Anoplotermes-banksi--French-Guiana-Neo-tropical,Apicotermitinae,#228B22
301-46,301-46--G13-65--Apicotermitinae--Anoplotermes-group-sp-Q--French-Guiana-Neo-tropical,Apicotermitinae,#228B22
301-47,301-47--G13-69--Apicotermitinae--Anoplotermes-group-sp-AF--French-Guiana-Neo-tropical,Apicotermitinae,#228B22
301-48,301-48--G13-8--Apicotermitinae--Anoplotermes-janus--French-Guiana-Neo-tropical,Apicotermitinae,#228B22
301-65,301-65--RDCT021--Apicotermitinae--Acidnotermes-praus--Congo-Afro-tropical,Apicotermitinae,#228B22
301-67,301-67--RDCT070--Apicotermitinae--Ateuchotermes-sp-B--Congo-Afro-tropical,Apicotermitinae,#228B22
301-68,301-68--RDCT098--Apicotermitinae--Amalotermes-phaeocephalus--Congo-Afro-tropical,Apicotermitinae,#228B22
229-01,229-01--HSRNA1--Archotermopsidae--Hodotermopsis-sjosdedti--China-Paleo-arctic,Archotermopsidae_Hodotermitidae,#b8860b
301-91,301-91--US17--Archotermopsidae--Zootermopsis-nevadensis--USA-Neo-arctic,Archotermopsidae_Hodotermitidae,#b8860b
229-08,229-08--Crypto--Cryptocercidae--Cryptocercus-punctulatus--Korea-Paleo-arctic,Cryptocercidae,#008b8b
230-20,230-20--BDIT069--Cubitermitinae--Cubitermes-nr-fulvus--Burundi-Afro-tropical,Cubitermitinae,#7D26CD
301-28,301-28--BDIT43--Cubitermitinae--Basidentitermes-aurivillii--Burundi-Afro-tropical,Cubitermitinae,#7D26CD
301-66,301-66--RDCT051--Cubitermitinae--Orthotermes-depressifrons--Congo-Afro-tropical,Cubitermitinae,#7D26CD
301-69,301-69--RDCT105--Cubitermitinae--Ophiotermes-grandilabius--Congo-Afro-tropical,Cubitermitinae,#7D26CD
301-73,301-73--RDCT159--Cubitermitinae--Proboscitermes-tubuliferus--Congo-Afro-tropical,Cubitermitinae,#7D26CD
230-21,230-21--TBRU814E--Foraminitermitinae--Labritermes-buttelreepeni--Brunei-Oriental,Foraminitermitinae,#8B008B
272-20,272-20--BDIT108-2--Foraminitermitinae--Foraminitermes-rhinoceros--Burundi-Afro-tropical,Foraminitermitinae,#8B008B
301-75,301-75--SA16-13--Hodotermes--Hodotermes--SouthAmerica-Neo-tropical,Archotermopsidae_Hodotermitidae,#b8860b
230-02,230-02--AUS109--Kalotermitidae--Kalotermitidae-sp-E--Australia-Australia,Kalotermitidae,#0000FF
230-18,230-18--SING74--Kalotermitidae--Neotermes--Singapore-Oriental,Kalotermitidae,#0000FF
230-24,230-24--THAI31--Kalotermitidae--Glyptotermes-sp-3--Thailand-Oriental,Kalotermitidae,#0000FF
272-06,272-06--AUS110--Kalotermitidae--Cryptotermes-primus--Australia-Australia,Kalotermitidae,#0000FF
272-07,272-07--AUS111--Kalotermitidae--Kalotermitidae-sp-F--Australia-Australia,Kalotermitidae,#0000FF
272-08,272-08--AUS117--Kalotermitidae--Cryptotermes-primus--Australia-Australia,Kalotermitidae,#0000FF
272-105,272-105--US10--Kalotermitidae--Incisitermes-snyderi--USA-Neo-arctic,Kalotermitidae,#0000FF
272-49,272-49--KE15-30--Kalotermitidae--Bifiditermes-mutubae--Kenya-Afro-tropical,Kalotermitidae,#0000FF
272-51,272-51--M16--Kalotermitidae--Tauritermes--Argentina-Neo-tropical,Kalotermitidae,#0000FF
272-61,272-61--MAD15-2--Kalotermitidae--Bifiditermes--Madagascar-Madagascar,Kalotermitidae,#0000FF
272-71,272-71--MAL39--Kalotermitidae--Cryptotermes--Malaysia-Oriental,Kalotermitidae,#0000FF
272-96,272-96--THAI112--Kalotermitidae--Glyptotermes--Thailand-Oriental,Kalotermitidae,#0000FF
272-97,272-97--THAI114--Kalotermitidae--Glyptotermes-sp-1--Thailand-Oriental,Kalotermitidae,#0000FF
301-10,301-10--AUS102--Kalotermitidae--Kalotermitidae-sp-H--Australia-Australia,Kalotermitidae,#0000FF
301-19,301-19--AUS89--Kalotermitidae--Kalotermitidae-sp-A--Australia-Australia,Kalotermitidae,#0000FF
301-20,301-20--AUS-91--Kalotermitidae--Kalotermitidae-sp-C--Australia-Australia,Kalotermitidae,#0000FF
301-49,301-49--G678-2--Kalotermitidae--Rugitermes-sp-A--French-Guiana-Neo-tropical,Kalotermitidae,#0000FF
301-55,301-55--H2--Kalotermitidae--Glyptotermes-Okinawa--h2-Japan-Paleo-arctic,Kalotermitidae,#0000FF
230-09,230-09--BDIT072--Macrotermitinae--Macrotermes-subhyalinus--Burundi-Afro-tropical,Macrotermitinae,#104f2a
272-26,272-26--CAM16-02a--Macrotermitinae--Acanthotermes--Cameroon-Afro-tropical,Macrotermitinae,#104f2a
272-83,272-83--RDCT109--Macrotermitinae--Pseudacanthotermes-militaris--Congo-Afro-tropical,Macrotermitinae,#104f2a
272-87,272-87--SAF5--Macrotermitinae--Allodontotermes-schultzei--South-Africa-Afro-tropical,Macrotermitinae,#104f2a
272-99,272-99--THAI50--Macrotermitinae--Macrotermes--Thailand-Oriental,Macrotermitinae,#104f2a
301-30,301-30--BDIT086--Macrotermitinae--Odontotermes-sp--Burundi-Afro-tropical,Macrotermitinae,#104f2a
301-72,301-72--RDCT144--Macrotermitinae--Odontotermes-sp-D--Congo-Afro-tropical,Macrotermitinae,#104f2a
301-86,301-86--THAI064--Macrotermitinae--Odontotermes-javanicus--Thailand-Oriental,Macrotermitinae,#104f2a
301-88,301-88--THAI071--Macrotermitinae--Macrotermes-annalandai--Thailand-Oriental,Macrotermitinae,#104f2a
229-05,229-05--MD-RNA-1--Mastotermitidae--Mastotermes-darwiniensis--Australia-Australia,Mastotermitidae,#232a80
229-07,229-07--Msp-RNA-1--Microcerotermes--Microcerotermes--South-East-Asia-Oriental,Microcerotermes,#03aba4
230-03,230-03--PHI8--Microcerotermes--Microcerotermes--Philippines-Oriental,Microcerotermes,#03aba4
230-12,230-12--81--Microcerotermes--Microcerotermes-papuanus--New-Guinea-Oceania,Microcerotermes,#03aba4
230-14,230-14--RDCT055--Microcerotermes--Microcerotermes-parvus--Congo-Afro-tropical,Microcerotermes,#03aba4
230-15,230-15--D2-34--Microcerotermes--Microcerotermes-biroi--New-Guinea-Oceania,Microcerotermes,#03aba4
230-16,230-16--MAD15-54--Microcerotermes--Microcerotermes-mad-sp-H--Madagascar-Madagascar,Microcerotermes,#03aba4
230-17,230-17--TBRU318a--Microcerotermes--Microcerotermes-nr-havilandi--Brunei-Oriental,Microcerotermes,#03aba4
272-01,272-01--10-2--Microcerotermes--Microcerotermes-biroi--New-Guinea,Microcerotermes,#03aba4
272-02,272-02--28--Microcerotermes--Microcerotermes-papuanus--New-Guinea-Oceania,Microcerotermes,#03aba4
272-04,272-04--48--Microcerotermes--Microcerotermes-papuanus--New-Guinea-Oceania,Microcerotermes,#03aba4
272-05,272-05--71--Microcerotermes--Microcerotermes-biroi--New-Guinea-Oceania,Microcerotermes,#03aba4
272-09,272-09--AUS13--Microcerotermes--Microcerotermes-sp--Australia-Australia,Microcerotermes,#03aba4
272-10,272-10--AUS32--Microcerotermes--Microcerotermes-sp--Australia-Australia,Microcerotermes,#03aba4
272-100,272-100--THAI54--Microcerotermes--Microcerotermes-crassus--Thailand-Oriental,Microcerotermes,#03aba4
272-101,272-101--THAI055--Microcerotermes--Microcerotermes-sp-B--Thailand-Oriental,Microcerotermes,#03aba4
