runnumber,label,biogeography,diet_type,diet,lineage,higher_lower,higher_lower_basal,batch_effect,diet_type_number4,lineage2,termitelabel,termitespecies2,termitespecies,termitegenus
229-01,229-01--HSRNA1--Archotermopsidae--Hodotermopsis-sjosdedti--China-Paleo-arctic,Paleo-arctic,group1,wood,Archotermopsidae,lower,basal,run1,1,Basal_termites,HSRNA1,229-01--Archotermopsidae-Hodotermopsis-sjosdedti,229-01--Archotermopsidae-Hodotermopsis-sjosdedti,Hodotermopsis
229-03,229-03--CF-RNA-1--Rhinotermitidae--Coptotermes-formosanus--South-East-Asia-Oriental,Oriental,group1,wood,Rhinotermitidae,lower,lower,run1,1,Heterotermes_Coptotermes,CF_RNA_1,229-03--Rhinotermitidae-Coptotermes-formosanus,229-03--Rhinotermitidae-Coptotermes-formosanus,Coptotermes
229-05,229-05--MD-RNA-1--Mastotermitidae--Mastotermes-darwiniensis--Australia-Australia,Australia,group1,wood,Mastotermitidae,lower,basal,run1,1,Mastotermitidae,MD_RNA_1,229-05--Mastotermitidae-Mastotermes-darwiniensis,229-05--Mastotermitidae-Mastotermes-darwiniensis,Mastotermes
229-08,229-08--Crypto--Cryptocercidae--Cryptocercus-punctulatus--Korea-Paleo-arctic,Paleo-arctic,group1,wood,Cryptocercidae,lower,basal,run1,1,Cryptocercidae,Cryp,229-08--Cryptocercidae-Cryptocercus-punctulatus,229-08--Cryptocercidae-Cryptocercus-punctulatus,Cryptocercus
230-02,230-02--AUS109--Kalotermitidae--Kalotermitidae-sp-E--Australia-Australia,Australia,group1,wood,Kalotermitidae,lower,lower,run2,1,Kalotermitidae,AUS109,230-02--Kalotermitidae-Kalotermitidae-spE,230-02--Kalotermitidae-Kalotermitidae-spE,Glyptotermes
230-04,230-04--RDCT185--Rhinotermitidae--Coptotermes-Congo-Afro-tropical,Afro-tropical,group1,wood,Rhinotermitidae,lower,lower,run2,1,Heterotermes_Coptotermes,RDCT185,230-04--Rhinotermitidae-Coptotermes,230-04--Rhinotermitidae-Coptotermes,Coptotermes
230-10,230-10--POROTERMES52--Stolotermitidae--Porotermes--Chile-Neo-tropical,Neo-tropical,group1,wood,Stolotermitidae,lower,basal,run2,1,Basal_termites,POROTERMES52,230-10--Stolotermitidae-Porotermes,230-10--Stolotermitidae-Porotermes,Porotermes
230-18,230-18--SING74--Kalotermitidae--Neotermes--Singapore-Oriental,Oriental,group1,wood,Kalotermitidae,lower,lower,run2,1,Kalotermitidae,SING74,230-18--Kalotermitidae-Neotermes,230-18--Kalotermitidae-Neotermes,Neotermes
230-24,230-24--THAI31--Kalotermitidae--Glyptotermes-sp-3--Thailand-Oriental,Oriental,group1,wood,Kalotermitidae,lower,lower,run2,1,Kalotermitidae,THAI31,230-24--Kalotermitidae-Glyptotermes-sp3,230-24--Kalotermitidae-Glyptotermes-sp3,Glyptotermes
230-25,230-25--BRA31--Serritermitidae--Serritermes--Brazil-Neo-tropical,Neo-tropical,group1,wood,Serritermitidae,lower,lower,run2,1,Serritermitidae,BRA31,230-25--Serritermitidae-Serritermes,230-25--Serritermitidae-Serritermes,Serritermes
